"","site_code","trt","year","block","plot","plot_id","bray_mean_null","bray_sd_null","bray","z_score"
"143","chilcas.ar","Control","2015","1"," 5","chilcas.ar_Control_2015_1_ 5",0.81906683480454,0.129463988551553,0.26860025220681,-4.25188956988246
"144","chilcas.ar","Control","2015","2","20","chilcas.ar_Control_2015_2_20",0.892487135506003,0.155540536346204,0.403087478559177,-3.14644444749447
"145","chilcas.ar","Control","2015","3","29","chilcas.ar_Control_2015_3_29",0.763421461897356,0.13340370562146,0.446345256609642,-2.37681707423806
"146","chilcas.ar","Control","2016","1"," 5","chilcas.ar_Control_2016_1_ 5",0.829085948158254,0.283412011260653,0.143246930422919,-2.41993631351274
"147","chilcas.ar","Control","2016","2","20","chilcas.ar_Control_2016_2_20",0.769558011049724,0.34876256101689,0.104972375690608,-1.90555326070946
"148","chilcas.ar","Control","2016","3","29","chilcas.ar_Control_2016_3_29",0.691325898389095,0.0814231636468,0.571251548946716,-1.47469521036104
"149","chilcas.ar","NPK","2013","1"," 8","chilcas.ar_NPK_2013_1_ 8",0.741306666666667,0.0679568041319918,0.472,-3.96290952917085
"150","chilcas.ar","NPK","2014","1"," 8","chilcas.ar_NPK_2014_1_ 8",0.778312985571587,0.0762319601360865,0.456159822419534,-4.22595932961657
"151","chilcas.ar","NPK","2015","1"," 8","chilcas.ar_NPK_2015_1_ 8",0.887161803713528,0.191824826378852,0.273209549071618,-3.20058808983025
"152","chilcas.ar","NPK","2015","3","26","chilcas.ar_NPK_2015_3_26",0.690224719101124,0.352545883431153,0.191011235955056,-1.41602414496369
"153","chilcas.ar","NPK","2016","1"," 8","chilcas.ar_NPK_2016_1_ 8",0.832881355932203,0.342023945370101,0.0586701434159061,-2.26361698646137
"154","chilcas.ar","NPK","2016","3","26","chilcas.ar_NPK_2016_3_26",0.766666666666667,0.317240649617051,0.0985915492957746,-2.10589380073878
"155","frue.ch","Control","2008","1","10","frue.ch_Control_2008_1_10",0.606481481481481,0.0927654577896757,0.37962962962963,-2.44543451039918
"156","frue.ch","Control","2008","2","17","frue.ch_Control_2008_2_17",0.595793991416309,0.0930277542676397,0.459227467811159,-1.46801913773227
"157","frue.ch","Control","2008","3","27","frue.ch_Control_2008_3_27",0.726606334841629,0.0887839463131734,0.447963800904977,-3.13843375415841
"158","frue.ch","Control","2009","1","10","frue.ch_Control_2009_1_10",0.665344129554656,0.0809802882574131,0.384615384615385,-3.46663059591632
"159","frue.ch","Control","2009","2","17","frue.ch_Control_2009_2_17",0.548629032258065,0.0670276760120797,0.419354838709677,-1.92866889081893
"160","frue.ch","Control","2009","3","27","frue.ch_Control_2009_3_27",0.668048780487805,0.116425437750852,0.219512195121951,-3.85256516128127
"161","frue.ch","Control","2010","1","10","frue.ch_Control_2010_1_10",0.701229508196721,0.103046831795052,0.467213114754098,-2.27097126001946
"162","frue.ch","Control","2010","2","17","frue.ch_Control_2010_2_17",0.47716814159292,0.0724932971506738,0.371681415929204,-1.45512385020186
"163","frue.ch","Control","2010","3","27","frue.ch_Control_2010_3_27",0.62056338028169,0.0944567167450711,0.380281690140845,-2.54382852189686
"164","frue.ch","Control","2011","1","10","frue.ch_Control_2011_1_10",0.635471698113208,0.100767486087239,0.518867924528302,-1.15715671902301
"165","frue.ch","Control","2011","2","17","frue.ch_Control_2011_2_17",0.494140625,0.0827868489313471,0.3203125,-2.09970698539512
"166","frue.ch","Control","2011","3","27","frue.ch_Control_2011_3_27",0.524015444015444,0.0801782739758397,0.428571428571429,-1.19039748190109
"167","frue.ch","Control","2012","1","10","frue.ch_Control_2012_1_10",0.80671186440678,0.0954882549968264,0.247457627118644,-5.85678560475027
"168","frue.ch","Control","2012","2","17","frue.ch_Control_2012_2_17",0.638384615384615,0.0981052642751093,0.615384615384615,-0.234442057416031
"169","frue.ch","Control","2012","3","27","frue.ch_Control_2012_3_27",0.66985401459854,0.121086286371946,0.299270072992701,-3.06049473238861
"170","frue.ch","NPK","2008","1"," 8","frue.ch_NPK_2008_1_ 8",0.584888888888889,0.0889023558822075,0.386666666666667,-2.22966219798336
"171","frue.ch","NPK","2008","2","12","frue.ch_NPK_2008_2_12",0.571363636363636,0.0674431984991195,0.463636363636364,-1.59730373298767
"172","frue.ch","NPK","2008","3","25","frue.ch_NPK_2008_3_25",0.716525423728814,0.102889004808619,0.305084745762712,-3.9988789738166
"173","frue.ch","NPK","2009","1"," 8","frue.ch_NPK_2009_1_ 8",0.654166666666667,0.112562036521148,0.287037037037037,-3.26157593604531
"174","frue.ch","NPK","2009","2","12","frue.ch_NPK_2009_2_12",0.673303964757709,0.106809156693598,0.409691629955947,-2.46806868401726
"175","frue.ch","NPK","2009","3","25","frue.ch_NPK_2009_3_25",0.647857142857143,0.0869955198272083,0.464285714285714,-2.11012508386686
"176","frue.ch","NPK","2010","1"," 8","frue.ch_NPK_2010_1_ 8",0.607034482758621,0.111345946241487,0.406896551724138,-1.79744245560969
"177","frue.ch","NPK","2010","2","12","frue.ch_NPK_2010_2_12",0.584344262295082,0.0877748404675058,0.385245901639344,-2.26828507571534
"178","frue.ch","NPK","2010","3","25","frue.ch_NPK_2010_3_25",0.683027888446215,0.077291873838905,0.561752988047809,-1.56905110945003
"179","frue.ch","NPK","2011","1"," 8","frue.ch_NPK_2011_1_ 8",0.51953488372093,0.111732587359309,0.218604651162791,-2.6933076524077
"180","frue.ch","NPK","2011","2","12","frue.ch_NPK_2011_2_12",0.582285714285714,0.113161445972082,0.387755102040816,-1.71905378703707
"181","frue.ch","NPK","2011","3","25","frue.ch_NPK_2011_3_25",0.704163568773234,0.0810973700972736,0.516728624535316,-2.31123332375755
"182","frue.ch","NPK","2012","1"," 8","frue.ch_NPK_2012_1_ 8",0.654191176470588,0.117709500474875,0.448529411764706,-1.74719766778537
"183","frue.ch","NPK","2012","2","12","frue.ch_NPK_2012_2_12",0.619179104477612,0.103179760569794,0.380597014925373,-2.31229543696077
"184","frue.ch","NPK","2012","3","25","frue.ch_NPK_2012_3_25",0.72082304526749,0.161379466695864,0.51440329218107,-1.27909552133692
"185","jena.de","Control","2014","1"," 5","jena.de_Control_2014_1_ 5",0.84394422310757,0.106146666115974,0.617529880478088,-2.13303300908298
"186","jena.de","Control","2014","2","13","jena.de_Control_2014_2_13",0.793676470588235,0.144895782698587,0.242647058823529,-3.80293616213082
"187","jena.de","Control","2014","3","20","jena.de_Control_2014_3_20",0.794777777777778,0.164023261359494,0.47037037037037,-1.97781341938078
"188","jena.de","Control","2015","1"," 5","jena.de_Control_2015_1_ 5",0.79651376146789,0.124363593824708,0.275229357798165,-4.19161579074726
"189","jena.de","Control","2015","2","13","jena.de_Control_2015_2_13",0.729326424870466,0.130635643469584,0.238341968911917,-3.75842643644853
"190","jena.de","Control","2015","3","20","jena.de_Control_2015_3_20",0.807724137931034,0.114217389887472,0.563218390804598,-2.1407050832393
"191","jena.de","Control","2016","1"," 5","jena.de_Control_2016_1_ 5",0.822008368200837,0.123654320582823,0.569037656903766,-2.04578950500668
"192","jena.de","Control","2016","2","13","jena.de_Control_2016_2_13",0.773497536945813,0.161509439684533,0.315270935960591,-2.83715058315012
"193","jena.de","Control","2016","3","20","jena.de_Control_2016_3_20",0.778046272493573,0.126189939720233,0.336760925449871,-3.49699308853024
"194","jena.de","Control","2017","1"," 5","jena.de_Control_2017_1_ 5",0.799183673469388,0.147713188089334,0.50278293135436,-2.00659633678593
"195","jena.de","Control","2017","2","13","jena.de_Control_2017_2_13",0.852171945701357,0.10248554229898,0.280542986425339,-5.57765462769774
"196","jena.de","Control","2017","3","20","jena.de_Control_2017_3_20",0.842028985507246,0.0839237730312493,0.238095238095238,-7.19621777713844
