"","site_code","temp_CV","precip_CV","temp_avg","precip_avg","bray_mean_null","bray","z_score","years_clim_data"
"1","arch.us",1.46433246703852,86.8137838982546,22.739877181289,1330.23,0.653842117998718,0.268306420487421,-2.99922535215529,15
"2","bayr.de",2.58847607677094,49.8152854013614,9.57318944443206,611.731998957321,0.741040090356246,0.45645556648057,-2.9267671370251,6
"3","burrawan.au",1.80669913771755,100.160715817018,19.5686175073722,579.77,0.815681461556137,0.289151398018904,-2.754473135988,15
"4","cereep.fr",2.05926393748232,8.895028195,10.81666666,632,0.774644535942062,0.361170954315309,-3.15700548426038,10
"5","chilcas.ar",1.72764198091568,63.8180139775136,15.6641604497171,997.925,0.802094821912417,0.312786313527959,-2.61426747717919,8
"6","frue.ch",2.31055063665433,62.6186501948073,7.9938245284014,1378.91394,0.625229536108658,0.397289580414174,-2.41124395088658,14
"7","jena.de",2.48821965934861,60.8637277551622,10.8323167584794,588.26,0.795084445266406,0.433300709409137,-3.28138714807434,15
"8","sevi.us",3.12334856558313,106.563226695194,13.8777709149762,216.983518742231,0.775429809599938,0.514694795701188,-2.03974914684414,14
"9","temple.us",2.63524167925362,90.9202490538884,19.6318567394009,906.030769230769,0.672161266402109,0.39263953963078,-2.83014214396002,14
"10","ukul.za",0.894968041013333,80.9295947657056,18.957823241561,718.2775,0.697786003939812,0.195217642169384,-4.57110188946422,13
