"","plot_id","site_code","trt","year","block","plot","bray","turnover","nestedness"
"bray44","bayr.de_Control_2017_2_14","bayr.de","Control","2017","2","14",0.235106866757617,0.0665926748057714,0.168514191951846
"bray45","bayr.de_Control_2018_2_14","bayr.de","Control","2018","2","14",0.685714285714286,0.0833333333333333,0.602380952380952
"bray46","bayr.de_Control_2019_2_14","bayr.de","Control","2019","2","14",0.267326732673267,0.119047619047619,0.148279113625648
"bray47","bayr.de_Control_2020_2_14","bayr.de","Control","2020","2","14",0.474091260634184,0.176755447941889,0.297335812692295
"bray48","bayr.de_NPK_2017_2_16","bayr.de","NPK","2017","2","16",0.577194106342088,0.489164086687306,0.0880300196547819
"bray49","bayr.de_NPK_2018_2_16","bayr.de","NPK","2018","2","16",0.645320197044335,0.28,0.365320197044335
"bray50","bayr.de_NPK_2019_2_16","bayr.de","NPK","2019","2","16",0.393617021276596,0.366666666666667,0.0269503546099291
"bray51","bayr.de_NPK_2020_2_16","bayr.de","NPK","2020","2","16",0.353846153846154,0.25,0.103846153846154
"bray52","bayr.de_NPK_2017_3_23","bayr.de","NPK","2017","3","23",0.603142076502732,0.571217712177122,0.0319243643256105
"bray53","bayr.de_NPK_2018_3_23","bayr.de","NPK","2018","3","23",0.581920903954802,0.0512820512820513,0.530638852672751
"bray54","bayr.de_NPK_2019_3_23","bayr.de","NPK","2019","3","23",0.4125,0.229508196721311,0.182991803278688
"bray55","bayr.de_NPK_2020_3_23","bayr.de","NPK","2020","3","23",0.352067868504772,0.260290556900726,0.0917773116040456
"bray56","bayr.de_Control_2017_3_26","bayr.de","Control","2017","3","26",0.590409590409591,0.407514450867052,0.182895139542538
"bray57","bayr.de_Control_2018_3_26","bayr.de","Control","2018","3","26",0.44,0.0277777777777778,0.412222222222222
"bray58","bayr.de_Control_2019_3_26","bayr.de","Control","2019","3","26",0.333333333333333,0.169811320754717,0.163522012578616
"bray59","bayr.de_Control_2020_3_26","bayr.de","Control","2020","3","26",0.368179207352096,0.215406562054208,0.152772645297888
"bray60","burrawan.au_Control_2009_1_ 1","burrawan.au","Control","2009","1"," 1",0.322033898305085,0.215686274509804,0.106347623795281
"bray61","burrawan.au_Control_2010_1_ 1","burrawan.au","Control","2010","1"," 1",0.52112676056338,0.227272727272727,0.293854033290653
"bray62","burrawan.au_Control_2011_1_ 1","burrawan.au","Control","2011","1"," 1",0.44954128440367,0.0625,0.38704128440367
"bray63","burrawan.au_Control_2012_1_ 1","burrawan.au","Control","2012","1"," 1",0.109489051094891,0.0615384615384615,0.047950589556429
"bray64","burrawan.au_Control_2013_1_ 1","burrawan.au","Control","2013","1"," 1",0.346341463414634,0.0147058823529412,0.331635581061693
"bray65","burrawan.au_Control_2017_1_ 1","burrawan.au","Control","2017","1"," 1",0.871632329635499,0.746875,0.124757329635499
"bray66","burrawan.au_Control_2018_1_ 1","burrawan.au","Control","2018","1"," 1",0.213930348258706,0.177083333333333,0.0368470149253731
"bray67","burrawan.au_NPK_2009_1_ 3","burrawan.au","NPK","2009","1"," 3",0.48780487804878,0.4,0.0878048780487805
"bray68","burrawan.au_NPK_2010_1_ 3","burrawan.au","NPK","2010","1"," 3",0.575,0.15,0.425
"bray69","burrawan.au_NPK_2011_1_ 3","burrawan.au","NPK","2011","1"," 3",0.619631901840491,0.607594936708861,0.01203696513163
"bray70","burrawan.au_NPK_2012_1_ 3","burrawan.au","NPK","2012","1"," 3",0.574193548387097,0.175,0.399193548387097
"bray71","burrawan.au_NPK_2013_1_ 3","burrawan.au","NPK","2013","1"," 3",0.796875,0.48,0.316875
"bray72","burrawan.au_NPK_2017_1_ 3","burrawan.au","NPK","2017","1"," 3",0.531645569620253,0.327272727272727,0.204372842347526
"bray73","burrawan.au_NPK_2018_1_ 3","burrawan.au","NPK","2018","1"," 3",0.562841530054645,0.344262295081967,0.218579234972678
"bray74","burrawan.au_NPK_2009_2_16","burrawan.au","NPK","2009","2","16",0.233644859813084,0.0465116279069767,0.187133231906107
"bray75","burrawan.au_NPK_2010_2_16","burrawan.au","NPK","2010","2","16",0.10958904109589,0.0579710144927536,0.0516180266031368
"bray76","burrawan.au_NPK_2011_2_16","burrawan.au","NPK","2011","2","16",0.155339805825243,0.147058823529412,0.00828098229583095
"bray77","burrawan.au_NPK_2012_2_16","burrawan.au","NPK","2012","2","16",0.0828729281767956,0,0.0828729281767956
"bray78","burrawan.au_NPK_2017_2_16","burrawan.au","NPK","2017","2","16",0.115237575095576,0.0909090909090909,0.0243284841864853
"bray79","burrawan.au_Control_2009_2_20","burrawan.au","Control","2009","2","20",0.377777777777778,0.176470588235294,0.201307189542484
"bray80","burrawan.au_Control_2010_2_20","burrawan.au","Control","2010","2","20",0.417910447761194,0.113636363636364,0.30427408412483
"bray81","burrawan.au_Control_2011_2_20","burrawan.au","Control","2011","2","20",0.152380952380952,0.0918367346938776,0.0605442176870748
"bray82","burrawan.au_Control_2012_2_20","burrawan.au","Control","2012","2","20",0.111111111111111,0.0617283950617284,0.0493827160493827
"bray83","burrawan.au_Control_2013_2_20","burrawan.au","Control","2013","2","20",0.100642398286938,0.00943396226415094,0.091208436022787
"bray84","burrawan.au_Control_2017_2_20","burrawan.au","Control","2017","2","20",0.113513513513514,0.0681818181818182,0.0453316953316953
"bray85","burrawan.au_Control_2018_2_20","burrawan.au","Control","2018","2","20",0.176954732510288,0.136868064118372,0.0400866683919157
"bray86","burrawan.au_Control_2009_3_24","burrawan.au","Control","2009","3","24",0.5,0.441176470588235,0.0588235294117647
"bray87","burrawan.au_Control_2010_3_24","burrawan.au","Control","2010","3","24",0.333333333333333,0.0256410256410256,0.307692307692308
"bray88","burrawan.au_Control_2011_3_24","burrawan.au","Control","2011","3","24",0.264864864864865,0.116883116883117,0.147981747981748
"bray89","burrawan.au_Control_2012_3_24","burrawan.au","Control","2012","3","24",0.197080291970803,0.0517241379310345,0.145356154039768
"bray90","burrawan.au_Control_2013_3_24","burrawan.au","Control","2013","3","24",0.127157129881926,0.0933962264150944,0.0337609034668312
"bray91","burrawan.au_Control_2017_3_24","burrawan.au","Control","2017","3","24",0.169909208819715,0.135135135135135,0.0347740736845795
"bray92","burrawan.au_Control_2018_3_24","burrawan.au","Control","2018","3","24",0.195448460508701,0.0768049155145928,0.118643544994109
"bray93","burrawan.au_NPK_2009_3_28","burrawan.au","NPK","2009","3","28",0.233333333333333,0.178571428571429,0.0547619047619048
"bray94","burrawan.au_NPK_2010_3_28","burrawan.au","NPK","2010","3","28",0.571428571428571,0.0625,0.508928571428571
"bray95","burrawan.au_NPK_2011_3_28","burrawan.au","NPK","2011","3","28",0.406451612903226,0.323529411764706,0.0829222011385199
"bray96","burrawan.au_NPK_2012_3_28","burrawan.au","NPK","2012","3","28",0.365079365079365,0.2,0.165079365079365
"bray97","burrawan.au_NPK_2013_3_28","burrawan.au","NPK","2013","3","28",0.384615384615385,0.139240506329114,0.245374878286271
"bray98","burrawan.au_NPK_2017_3_28","burrawan.au","NPK","2017","3","28",0.449423815620999,0.418918918918919,0.0305048967020798
