"","plot_id","site_code","trt","year","block","plot","bray","turnover","nestedness"
"bray211","jena.de_Control_2020_2_13","jena.de","Control","2020","2","13",0.325842696629214,0.0131578947368421,0.312684801892371
"bray212","jena.de_NPK_2014_3_18","jena.de","NPK","2014","3","18",0.452513966480447,0.451492537313433,0.00102142916701409
"bray213","jena.de_NPK_2015_3_18","jena.de","NPK","2015","3","18",0.221105527638191,0.221105527638191,0
"bray214","jena.de_NPK_2016_3_18","jena.de","NPK","2016","3","18",0.275590551181102,0.0612244897959184,0.214366061385184
"bray215","jena.de_NPK_2017_3_18","jena.de","NPK","2017","3","18",0.303501945525292,0.228448275862069,0.0750536696632229
"bray216","jena.de_NPK_2018_3_18","jena.de","NPK","2018","3","18",0.547785547785548,0.126126126126126,0.421659421659422
"bray217","jena.de_NPK_2019_3_18","jena.de","NPK","2019","3","18",0.461100569259962,0.00699300699300699,0.454107562266955
"bray218","jena.de_NPK_2020_3_18","jena.de","NPK","2020","3","18",0.328395061728395,0.252747252747253,0.0756478089811423
"bray219","jena.de_Control_2014_3_20","jena.de","Control","2014","3","20",0.47037037037037,0.466417910447761,0.00395245992260918
"bray220","jena.de_Control_2015_3_20","jena.de","Control","2015","3","20",0.563218390804598,0.525,0.0382183908045977
"bray221","jena.de_Control_2016_3_20","jena.de","Control","2016","3","20",0.336760925449871,0.254335260115607,0.0824256653342645
"bray222","jena.de_Control_2017_3_20","jena.de","Control","2017","3","20",0.238095238095238,0.203463203463203,0.0346320346320346
"bray223","jena.de_Control_2018_3_20","jena.de","Control","2018","3","20",0.556851311953353,0.136363636363636,0.420487675589716
"bray224","jena.de_Control_2019_3_20","jena.de","Control","2019","3","20",0.53405017921147,0.177215189873418,0.356834989338052
"bray225","jena.de_Control_2020_3_20","jena.de","Control","2020","3","20",0.564482029598309,0.469072164948454,0.0954098646498551
"bray226","sevi.us_NPK_2010_1_ 6","sevi.us","NPK","2010","1"," 6",0.893833780160858,0.88339222614841,0.010441554012448
"bray227","sevi.us_NPK_2012_1_ 6","sevi.us","NPK","2012","1"," 6",0.841209829867675,0.826446280991736,0.0147635488759393
"bray228","sevi.us_NPK_2013_1_ 6","sevi.us","NPK","2013","1"," 6",0.786053882725832,0.0357142857142857,0.750339597011546
"bray229","sevi.us_NPK_2014_1_ 6","sevi.us","NPK","2014","1"," 6",0.479446792162889,0.156288916562889,0.3231578756
"bray230","sevi.us_NPK_2016_1_ 6","sevi.us","NPK","2016","1"," 6",0.221411192214112,0.166666666666667,0.0547445255474453
"bray231","sevi.us_NPK_2018_1_ 6","sevi.us","NPK","2018","1"," 6",0.252942865345966,0.209599027946537,0.0433438373994291
"bray232","sevi.us_Control_2010_1_ 8","sevi.us","Control","2010","1"," 8",0.663494012895302,0.454726368159204,0.208767644736098
"bray233","sevi.us_Control_2011_1_ 8","sevi.us","Control","2011","1"," 8",0.579439252336449,0.210526315789474,0.368912936546975
"bray234","sevi.us_Control_2012_1_ 8","sevi.us","Control","2012","1"," 8",0.473229706390328,0.287383177570093,0.185846528820235
"bray235","sevi.us_Control_2013_1_ 8","sevi.us","Control","2013","1"," 8",0.644075021312873,0.0670391061452514,0.577035915167622
"bray236","sevi.us_Control_2014_1_ 8","sevi.us","Control","2014","1"," 8",0.414669837205048,0.015990159901599,0.398679677303449
"bray237","sevi.us_Control_2008_2_12","sevi.us","Control","2008","2","12",0.410930110352076,0.0044404973357016,0.406489613016374
"bray238","sevi.us_Control_2010_2_12","sevi.us","Control","2010","2","12",0.586446568201564,0.548387096774194,0.0380594714273703
"bray239","sevi.us_Control_2011_2_12","sevi.us","Control","2011","2","12",0.413612565445026,0.325301204819277,0.0883113606257491
"bray240","sevi.us_Control_2012_2_12","sevi.us","Control","2012","2","12",0.708333333333333,0.677506775067751,0.0308265582655827
"bray241","sevi.us_Control_2013_2_12","sevi.us","Control","2013","2","12",0.735939643347051,0.13677130044843,0.59916834289862
"bray242","sevi.us_NPK_2010_2_15","sevi.us","NPK","2010","2","15",0.877542461732019,0.856932876041156,0.020609585690863
"bray243","sevi.us_NPK_2012_2_15","sevi.us","NPK","2012","2","15",0.683712121212121,0.676356589147287,0.00735553206483439
"bray244","sevi.us_NPK_2013_2_15","sevi.us","NPK","2013","2","15",0.989566042210102,0.957446808510638,0.0321192336994637
"bray245","sevi.us_NPK_2016_2_15","sevi.us","NPK","2016","2","15",0.276807980049875,0.176136363636364,0.100671616413512
"bray246","sevi.us_NPK_2018_2_15","sevi.us","NPK","2018","2","15",0.218832891246684,0.0438311688311688,0.175001722415516
"bray247","sevi.us_NPK_2008_3_17","sevi.us","NPK","2008","3","17",0.620098884672876,0.00301750150875075,0.617081383164125
"bray248","sevi.us_NPK_2010_3_17","sevi.us","NPK","2010","3","17",0.448003386482292,0.333787465940054,0.114215920542237
"bray249","sevi.us_NPK_2011_3_17","sevi.us","NPK","2011","3","17",0.403225806451613,0.339285714285714,0.0639400921658986
"bray250","sevi.us_NPK_2012_3_17","sevi.us","NPK","2012","3","17",0.724601175482788,0.658333333333333,0.0662678421494542
"bray251","sevi.us_NPK_2013_3_17","sevi.us","NPK","2013","3","17",0.836521170508419,0.189627228525122,0.646893941983298
"bray252","sevi.us_NPK_2014_3_17","sevi.us","NPK","2014","3","17",0.56701030927835,0.125,0.44201030927835
"bray253","sevi.us_NPK_2016_3_17","sevi.us","NPK","2016","3","17",0.46849656893325,0.327014218009479,0.141482350923771
"bray254","sevi.us_NPK_2018_3_17","sevi.us","NPK","2018","3","17",0.492273730684327,0.415254237288136,0.0770194933961911
"bray255","sevi.us_Control_2010_3_22","sevi.us","Control","2010","3","22",0.797577058733323,0.0517241379310345,0.745852920802289
"bray256","sevi.us_Control_2011_3_22","sevi.us","Control","2011","3","22",0.260869565217391,0.0285714285714286,0.232298136645963
"bray257","sevi.us_Control_2012_3_22","sevi.us","Control","2012","3","22",0.425714285714286,0.41399416909621,0.0117201166180758
"bray258","sevi.us_Control_2013_3_22","sevi.us","Control","2013","3","22",0.91355850808388,0.0878378378378378,0.825720670246042
"bray259","sevi.us_Control_2016_3_22","sevi.us","Control","2016","3","22",0.677002583979328,0.228395061728395,0.448607522250933
"bray260","sevi.us_Control_2018_3_22","sevi.us","Control","2018","3","22",0.119897959183673,0.08,0.0398979591836735
"bray261","sevi.us_NPK_2008_4_25","sevi.us","NPK","2008","4","25",0.447731755424063,0.0344827586206897,0.413248996803374
"bray262","sevi.us_NPK_2010_4_25","sevi.us","NPK","2010","4","25",0.610469228955435,0.553513513513514,0.0569557154419215
"bray263","sevi.us_NPK_2012_4_25","sevi.us","NPK","2012","4","25",0.499173553719008,0.410505836575875,0.0886677171431328
"bray264","sevi.us_NPK_2013_4_25","sevi.us","NPK","2013","4","25",0.78797033781928,0.0127877237851662,0.775182614034114
"bray265","sevi.us_NPK_2016_4_25","sevi.us","NPK","2016","4","25",0.469740634005764,0.454545454545455,0.0151951794603091
"bray266","sevi.us_NPK_2018_4_25","sevi.us","NPK","2018","4","25",0.0407593523171413,0.00116279069767442,0.0395965616194668
"bray267","sevi.us_Control_2008_4_35","sevi.us","Control","2008","4","35",0.486919831223629,0.164835164835165,0.322084666388464
"bray268","sevi.us_Control_2010_4_35","sevi.us","Control","2010","4","35",0.706785814018431,0.583333333333333,0.123452480685097
"bray269","sevi.us_Control_2011_4_35","sevi.us","Control","2011","4","35",0.491666666666667,0.197368421052632,0.294298245614035
"bray270","sevi.us_Control_2012_4_35","sevi.us","Control","2012","4","35",0.372637944066516,0.183070866141732,0.189567077924783
"bray271","sevi.us_Control_2013_4_35","sevi.us","Control","2013","4","35",0.794986263736264,0.200803212851406,0.594183050884858
"bray272","sevi.us_Control_2014_4_35","sevi.us","Control","2014","4","35",0.691197691197691,0,0.691197691197691
"bray273","sevi.us_Control_2016_4_35","sevi.us","Control","2016","4","35",0.278094251683066,0.019690576652602,0.258403675030464
"bray274","sevi.us_Control_2018_4_35","sevi.us","Control","2018","4","35",0.150943396226415,0.0190735694822888,0.131869826744126
"bray275","sevi.us_NPK_2008_5_39","sevi.us","NPK","2008","5","39",0.54158215010142,0,0.54158215010142
"bray276","sevi.us_NPK_2010_5_39","sevi.us","NPK","2010","5","39",0.862547571076785,0.859560841720037,0.00298672935674872
"bray277","sevi.us_NPK_2011_5_39","sevi.us","NPK","2011","5","39",0.33112582781457,0.178861788617886,0.152264039196683
"bray278","sevi.us_NPK_2012_5_39","sevi.us","NPK","2012","5","39",0.704994192799071,0.62202380952381,0.0829703832752613
"bray279","sevi.us_NPK_2013_5_39","sevi.us","NPK","2013","5","39",0.854983029929034,0,0.854983029929034
"bray280","sevi.us_NPK_2016_5_39","sevi.us","NPK","2016","5","39",0.965753424657534,0.957264957264957,0.00848846739257698
"bray281","sevi.us_NPK_2018_5_39","sevi.us","NPK","2018","5","39",0.903669724770642,0.382352941176471,0.521316783594172
"bray282","sevi.us_Control_2008_5_40","sevi.us","Control","2008","5","40",0.549682875264271,0.190114068441065,0.359568806823206
"bray283","sevi.us_Control_2010_5_40","sevi.us","Control","2010","5","40",0.362702881748924,0.13876454789615,0.223938333852773
"bray284","sevi.us_Control_2011_5_40","sevi.us","Control","2011","5","40",0.252808988764045,0.00746268656716418,0.245346302196881
"bray285","sevi.us_Control_2012_5_40","sevi.us","Control","2012","5","40",0.433712121212121,0.277777777777778,0.155934343434343
"bray286","sevi.us_Control_2013_5_40","sevi.us","Control","2013","5","40",0.809101654846336,0.497667185069984,0.311434469776351
"bray287","sevi.us_Control_2014_5_40","sevi.us","Control","2014","5","40",0.560672514619883,0,0.560672514619883
"bray288","sevi.us_Control_2016_5_40","sevi.us","Control","2016","5","40",0.36768149882904,0.0334128878281623,0.334268611000878
"bray289","sevi.us_Control_2018_5_40","sevi.us","Control","2018","5","40",0.335849056603774,0.0222222222222222,0.313626834381551
"bray290","temple.us_Control_2010_1_ 1","temple.us","Control","2010","1"," 1",0.6,0.568965517241379,0.0310344827586207
"bray291","temple.us_Control_2012_1_ 1","temple.us","Control","2012","1"," 1",0.398373983739837,0,0.398373983739837
"bray292","temple.us_Control_2013_1_ 1","temple.us","Control","2013","1"," 1",0.107843137254902,0.0108695652173913,0.0969735720375107
"bray293","temple.us_Control_2014_1_ 1","temple.us","Control","2014","1"," 1",0.164983164983165,0.150684931506849,0.0142982334763157
"bray294","temple.us_Control_2015_1_ 1","temple.us","Control","2015","1"," 1",0.467005076142132,0.239130434782609,0.227874641359523
"bray295","temple.us_Control_2016_1_ 1","temple.us","Control","2016","1"," 1",0.354838709677419,0.230769230769231,0.124069478908189
"bray296","temple.us_Control_2020_1_ 1","temple.us","Control","2020","1"," 1",0.580838323353293,0.556962025316456,0.0238762980368377
"bray297","temple.us_NPK_2010_1_ 8","temple.us","NPK","2010","1"," 8",0.307110438729198,0.223728813559322,0.0833816251698761
"bray298","temple.us_NPK_2012_1_ 8","temple.us","NPK","2012","1"," 8",0.385542168674699,0,0.385542168674699
"bray299","temple.us_NPK_2013_1_ 8","temple.us","NPK","2013","1"," 8",0.624242424242424,0,0.624242424242424
"bray300","temple.us_NPK_2014_1_ 8","temple.us","NPK","2014","1"," 8",0.342756183745583,0.295454545454545,0.0473016382910376
"bray301","temple.us_NPK_2015_1_ 8","temple.us","NPK","2015","1"," 8",0.414492753623188,0.0471698113207547,0.367322942302434
"bray302","temple.us_NPK_2016_1_ 8","temple.us","NPK","2016","1"," 8",0.3,0.0454545454545455,0.254545454545455
"bray303","temple.us_NPK_2020_1_ 8","temple.us","NPK","2020","1"," 8",0.5,0.477777777777778,0.0222222222222222
"bray304","temple.us_Control_2010_2_11","temple.us","Control","2010","2","11",0.557823129251701,0.557823129251701,0
"bray305","temple.us_Control_2012_2_11","temple.us","Control","2012","2","11",0.44136460554371,0.00757575757575758,0.433788847967952
"bray306","temple.us_Control_2013_2_11","temple.us","Control","2013","2","11",0.602373887240356,0.0289855072463768,0.573388379993979
"bray307","temple.us_Control_2014_2_11","temple.us","Control","2014","2","11",0.313531353135314,0.297297297297297,0.0162340558380162
"bray308","temple.us_Control_2015_2_11","temple.us","Control","2015","2","11",0.5,0.436893203883495,0.0631067961165049
"bray309","temple.us_Control_2016_2_11","temple.us","Control","2016","2","11",0.288311688311688,0.18452380952381,0.103787878787879
"bray310","temple.us_Control_2020_2_11","temple.us","Control","2020","2","11",0.255060728744939,0.226890756302521,0.0281699724424183
"bray311","temple.us_NPK_2010_2_18","temple.us","NPK","2010","2","18",0.874015748031496,0.80952380952381,0.0644919385076865
"bray312","temple.us_NPK_2013_2_18","temple.us","NPK","2013","2","18",0.660606060606061,0.0344827586206897,0.626123301985371
"bray313","temple.us_NPK_2014_2_18","temple.us","NPK","2014","2","18",0.271708683473389,0.139072847682119,0.13263583579127
"bray314","temple.us_NPK_2015_2_18","temple.us","NPK","2015","2","18",0.532374100719424,0.434782608695652,0.0975914920237723
"bray315","temple.us_NPK_2020_2_18","temple.us","NPK","2020","2","18",0.91566265060241,0.862745098039216,0.052917552563194
"bray316","temple.us_Control_2010_3_21","temple.us","Control","2010","3","21",0.455252918287938,0.313725490196078,0.141527428091859
"bray317","temple.us_Control_2012_3_21","temple.us","Control","2012","3","21",0.308868501529052,0.110236220472441,0.198632281056611
"bray318","temple.us_Control_2013_3_21","temple.us","Control","2013","3","21",0.309677419354839,0.195488721804511,0.114188697550327
"bray319","temple.us_Control_2014_3_21","temple.us","Control","2014","3","21",0.42741935483871,0,0.42741935483871
"bray320","temple.us_Control_2015_3_21","temple.us","Control","2015","3","21",0.234375,0.209677419354839,0.0246975806451613
"bray321","temple.us_Control_2016_3_21","temple.us","Control","2016","3","21",0.356828193832599,0.27,0.0868281938325991
"bray322","temple.us_Control_2020_3_21","temple.us","Control","2020","3","21",0.520661157024793,0.482142857142857,0.0385182998819363
"bray323","temple.us_NPK_2010_3_28","temple.us","NPK","2010","3","28",0.404844290657439,0.381294964028777,0.0235493266286625
"bray324","temple.us_NPK_2012_3_28","temple.us","NPK","2012","3","28",0.373913043478261,0.228571428571429,0.145341614906832
"bray325","temple.us_NPK_2013_3_28","temple.us","NPK","2013","3","28",0.371727748691099,0.032258064516129,0.33946968417497
"bray326","temple.us_NPK_2014_3_28","temple.us","NPK","2014","3","28",0.299363057324841,0.0983606557377049,0.201002401587136
"bray327","temple.us_NPK_2015_3_28","temple.us","NPK","2015","3","28",0.133333333333333,0.0714285714285714,0.0619047619047619
"bray328","temple.us_NPK_2016_3_28","temple.us","NPK","2016","3","28",0.436997319034853,0.37125748502994,0.0657398340049124
"bray329","temple.us_NPK_2020_3_28","temple.us","NPK","2020","3","28",0.410714285714286,0.326530612244898,0.0841836734693878
"bray330","ukul.za_NPK_2010_1_ 2","ukul.za","NPK","2010","1"," 2",0.134328358208955,0.0584415584415584,0.0758867997673968
"bray331","ukul.za_NPK_2011_1_ 2","ukul.za","NPK","2011","1"," 2",0.0708661417322835,0.0247933884297521,0.0460727533025314
"bray332","ukul.za_NPK_2012_1_ 2","ukul.za","NPK","2012","1"," 2",0.150943396226415,0.1,0.0509433962264151
"bray333","ukul.za_NPK_2013_1_ 2","ukul.za","NPK","2013","1"," 2",0.216049382716049,0.0863309352517986,0.129718447464251
"bray334","ukul.za_NPK_2014_1_ 2","ukul.za","NPK","2014","1"," 2",0.288135593220339,0.0344827586206897,0.253652834599649
"bray335","ukul.za_NPK_2015_1_ 2","ukul.za","NPK","2015","1"," 2",0.276923076923077,0.0784313725490196,0.198491704374057
"bray336","ukul.za_NPK_2016_1_ 2","ukul.za","NPK","2016","1"," 2",0.257383966244726,0.228070175438596,0.0293137908061292
"bray337","ukul.za_NPK_2017_1_ 2","ukul.za","NPK","2017","1"," 2",0.0909090909090909,0.025974025974026,0.0649350649350649
"bray338","ukul.za_NPK_2018_1_ 2","ukul.za","NPK","2018","1"," 2",0.205240174672489,0.201754385964912,0.0034857887075768
"bray339","ukul.za_NPK_2019_1_ 2","ukul.za","NPK","2019","1"," 2",0.597633136094675,0.531034482758621,0.0665986533360539
"bray340","ukul.za_NPK_2020_1_ 2","ukul.za","NPK","2020","1"," 2",0.32013201320132,0.207692307692308,0.112439705509012
"bray341","ukul.za_Control_2010_1_ 8","ukul.za","Control","2010","1"," 8",0.131736526946108,0.0764331210191083,0.0553034059269995
"bray342","ukul.za_Control_2011_1_ 8","ukul.za","Control","2011","1"," 8",0.0526315789473684,0.04375,0.00888157894736842
"bray343","ukul.za_Control_2012_1_ 8","ukul.za","Control","2012","1"," 8",0.135313531353135,0.108843537414966,0.0264699939381693
"bray344","ukul.za_Control_2013_1_ 8","ukul.za","Control","2013","1"," 8",0.142061281337047,0.0887573964497041,0.0533038848873432
"bray345","ukul.za_Control_2014_1_ 8","ukul.za","Control","2014","1"," 8",0.107692307692308,0.0252100840336134,0.0824822236586942
"bray346","ukul.za_Control_2015_1_ 8","ukul.za","Control","2015","1"," 8",0.272727272727273,0.0886075949367089,0.184119677790564
"bray347","ukul.za_Control_2016_1_ 8","ukul.za","Control","2016","1"," 8",0.162162162162162,0.138888888888889,0.0232732732732733
"bray348","ukul.za_Control_2017_1_ 8","ukul.za","Control","2017","1"," 8",0.179012345679012,0.173913043478261,0.00509930220075148
"bray349","ukul.za_Control_2018_1_ 8","ukul.za","Control","2018","1"," 8",0.176470588235294,0.17037037037037,0.00610021786492375
"bray350","ukul.za_Control_2019_1_ 8","ukul.za","Control","2019","1"," 8",0.190082644628099,0.174157303370787,0.0159253412573127
"bray351","ukul.za_Control_2020_1_ 8","ukul.za","Control","2020","1"," 8",0.181372549019608,0.121052631578947,0.0603199174406605
"bray352","ukul.za_Control_2010_2_12","ukul.za","Control","2010","2","12",0.223021582733813,0.205882352941176,0.0171392297926365
"bray353","ukul.za_Control_2011_2_12","ukul.za","Control","2011","2","12",0.119718309859155,0.113475177304965,0.00624313255419039
"bray354","ukul.za_Control_2012_2_12","ukul.za","Control","2012","2","12",0.177631578947368,0.125874125874126,0.0517574530732425
"bray355","ukul.za_Control_2013_2_12","ukul.za","Control","2013","2","12",0.129337539432177,0.115384615384615,0.0139529240475613
"bray356","ukul.za_Control_2014_2_12","ukul.za","Control","2014","2","12",0.11864406779661,0.0458715596330275,0.0727725081635827
"bray357","ukul.za_Control_2015_2_12","ukul.za","Control","2015","2","12",0.235023041474654,0.153061224489796,0.0819618169848585
"bray358","ukul.za_Control_2016_2_12","ukul.za","Control","2016","2","12",0.151515151515152,0.104,0.0475151515151515
"bray359","ukul.za_Control_2017_2_12","ukul.za","Control","2017","2","12",0.535087719298246,0.464646464646465,0.070441254651781
"bray360","ukul.za_Control_2018_2_12","ukul.za","Control","2018","2","12",0.359712230215827,0.335820895522388,0.0238913346934393
"bray361","ukul.za_Control_2019_2_12","ukul.za","Control","2019","2","12",0.640816326530612,0.610619469026549,0.0301968575040636
"bray362","ukul.za_Control_2020_2_12","ukul.za","Control","2020","2","12",0.208672086720867,0.170454545454545,0.0382175412663218
"bray363","ukul.za_NPK_2010_2_19","ukul.za","NPK","2010","2","19",0.271375464684015,0.234375,0.0370004646840149
"bray364","ukul.za_NPK_2011_2_19","ukul.za","NPK","2011","2","19",0.154098360655738,0.128378378378378,0.0257199822773593
"bray365","ukul.za_NPK_2012_2_19","ukul.za","NPK","2012","2","19",0.134228187919463,0.0915492957746479,0.0426788921448152
"bray366","ukul.za_NPK_2013_2_19","ukul.za","NPK","2013","2","19",0.123287671232877,0.101123595505618,0.0221640757272587
"bray367","ukul.za_NPK_2014_2_19","ukul.za","NPK","2014","2","19",0.0786516853932584,0.0681818181818182,0.0104698672114402
"bray368","ukul.za_NPK_2015_2_19","ukul.za","NPK","2015","2","19",0.0403587443946188,0.018348623853211,0.0220101205414078
"bray369","ukul.za_NPK_2016_2_19","ukul.za","NPK","2016","2","19",0.0666666666666667,0.0344827586206897,0.032183908045977
"bray370","ukul.za_NPK_2017_2_19","ukul.za","NPK","2017","2","19",0.164179104477612,0.118110236220472,0.0460688682571395
"bray371","ukul.za_NPK_2018_2_19","ukul.za","NPK","2018","2","19",0.148760330578512,0.11965811965812,0.0291022109203927
"bray372","ukul.za_NPK_2019_2_19","ukul.za","NPK","2019","2","19",0.0694444444444444,0.0359712230215827,0.0334732214228617
"bray373","ukul.za_NPK_2020_2_19","ukul.za","NPK","2020","2","19",0.212543554006969,0.204225352112676,0.00831820189429259
"bray374","ukul.za_Control_2010_3_22","ukul.za","Control","2010","3","22",0.244094488188976,0.152941176470588,0.0911533117183881
"bray375","ukul.za_Control_2011_3_22","ukul.za","Control","2011","3","22",0.19047619047619,0.167832167832168,0.0226440226440226
"bray376","ukul.za_Control_2012_3_22","ukul.za","Control","2012","3","22",0.0607734806629834,0.0340909090909091,0.0266825715720743
"bray377","ukul.za_Control_2013_3_22","ukul.za","Control","2013","3","22",0.0983050847457627,0.0827586206896552,0.0155464640561075
"bray378","ukul.za_Control_2014_3_22","ukul.za","Control","2014","3","22",0.0671140939597315,0.054421768707483,0.0126923252522486
"bray379","ukul.za_Control_2015_3_22","ukul.za","Control","2015","3","22",0.261904761904762,0.215189873417722,0.0467148884870404
"bray380","ukul.za_Control_2016_3_22","ukul.za","Control","2016","3","22",0.250909090909091,0.23134328358209,0.0195658073270014
"bray381","ukul.za_Control_2017_3_22","ukul.za","Control","2017","3","22",0.143884892086331,0.0984848484848485,0.0454000436014824
"bray382","ukul.za_Control_2018_3_22","ukul.za","Control","2018","3","22",0.180887372013652,0.0769230769230769,0.103964295090575
"bray383","ukul.za_Control_2019_3_22","ukul.za","Control","2019","3","22",0.185185185185185,0.110294117647059,0.0748910675381264
"bray384","ukul.za_Control_2020_3_22","ukul.za","Control","2020","3","22",0.128205128205128,0.125,0.00320512820512821
"bray385","ukul.za_NPK_2010_3_23","ukul.za","NPK","2010","3","23",0.315960912052117,0.25531914893617,0.060641763115947
"bray386","ukul.za_NPK_2011_3_23","ukul.za","NPK","2011","3","23",0.0965250965250965,0.0930232558139535,0.00350184071114304
"bray387","ukul.za_NPK_2012_3_23","ukul.za","NPK","2012","3","23",0.130434782608696,0.0740740740740741,0.0563607085346216
"bray388","ukul.za_NPK_2013_3_23","ukul.za","NPK","2013","3","23",0.0932203389830508,0.0775862068965517,0.0156341320864991
"bray389","ukul.za_NPK_2014_3_23","ukul.za","NPK","2014","3","23",0.10880829015544,0.0444444444444444,0.064363845710996
"bray390","ukul.za_NPK_2015_3_23","ukul.za","NPK","2015","3","23",0.232394366197183,0.192592592592593,0.0398017736045905
"bray391","ukul.za_NPK_2016_3_23","ukul.za","NPK","2016","3","23",0.227642276422764,0.221311475409836,0.00633080101292816
"bray392","ukul.za_NPK_2017_3_23","ukul.za","NPK","2017","3","23",0.321678321678322,0.307142857142857,0.0145354645354645
"bray393","ukul.za_NPK_2018_3_23","ukul.za","NPK","2018","3","23",0.437037037037037,0.35042735042735,0.0866096866096866
"bray394","ukul.za_NPK_2019_3_23","ukul.za","NPK","2019","3","23",0.451263537906137,0.441176470588235,0.0100870673179019
"bray395","ukul.za_NPK_2020_3_23","ukul.za","NPK","2020","3","23",0.252830188679245,0.0294117647058824,0.223418423973363
